timestamp_ms,run_id,protocol,scenario,direction,latency_ms,payload_bytes,header_bytes,delivered,seq,t_send_ms,t_cmd_ms,t_recv_ms,t_exec_ms,cin_create_ms
1780675888139,mqtt_s3_20260605_run009,mqtt,2,command,-2210.0,60,39,True,1,,1780675888061,1780675885851,1780675885851,78.0
1780675889278,mqtt_s3_20260605_run009,mqtt,2,command,-2200.0,60,39,True,2,,1780675889186,1780675886986,1780675886986,94.0
1780675890418,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,60,39,True,3,,1780675890329,1780675888128,1780675888128,93.0
1780675891559,mqtt_s3_20260605_run009,mqtt,2,command,-2195.0,60,39,True,4,,1780675891464,1780675889269,1780675889269,94.0
1780675892705,mqtt_s3_20260605_run009,mqtt,2,command,-2207.0,60,39,True,5,,1780675892615,1780675890408,1780675890408,79.0
1780675893856,mqtt_s3_20260605_run009,mqtt,2,command,-2197.0,60,39,True,6,,1780675893759,1780675891562,1780675891562,94.0
1780675895009,mqtt_s3_20260605_run009,mqtt,2,command,-2192.0,60,39,True,7,,1780675894911,1780675892719,1780675892719,94.0
1780675896151,mqtt_s3_20260605_run009,mqtt,2,command,-2207.0,60,39,True,8,,1780675896059,1780675893852,1780675893852,94.0
1780675897310,mqtt_s3_20260605_run009,mqtt,2,command,-2191.0,60,39,True,9,,1780675897199,1780675895008,1780675895008,109.0
1780675898469,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,10,,1780675898365,1780675896164,1780675896164,94.0
1780675899621,mqtt_s3_20260605_run009,mqtt,2,command,-2193.0,61,39,True,11,,1780675899521,1780675897328,1780675897328,93.0
1780675900810,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,12,,1780675900677,1780675898476,1780675898476,125.0
1780675901952,mqtt_s3_20260605_run009,mqtt,2,command,-2190.0,61,39,True,13,,1780675901845,1780675899655,1780675899655,110.0
1780675903133,mqtt_s3_20260605_run009,mqtt,2,command,-2191.0,61,39,True,14,,1780675903015,1780675900824,1780675900824,125.0
1780675904306,mqtt_s3_20260605_run009,mqtt,2,command,-2194.0,61,39,True,15,,1780675904193,1780675901999,1780675901999,109.0
1780675905481,mqtt_s3_20260605_run009,mqtt,2,command,-2192.0,61,39,True,16,,1780675905368,1780675903176,1780675903176,110.0
1780675906666,mqtt_s3_20260605_run009,mqtt,2,command,-2198.0,61,39,True,17,,1780675906549,1780675904351,1780675904351,125.0
1780675907873,mqtt_s3_20260605_run009,mqtt,2,command,-2179.0,61,39,True,18,,1780675907727,1780675905548,1780675905548,140.0
1780675909059,mqtt_s3_20260605_run009,mqtt,2,command,-2191.0,61,39,True,19,,1780675908952,1780675906761,1780675906761,109.0
1780675910208,mqtt_s3_20260605_run009,mqtt,2,command,-2204.0,61,39,True,20,,1780675910121,1780675907917,1780675907917,94.0
1780675911366,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,21,,1780675911265,1780675909064,1780675909064,109.0
1780675912507,mqtt_s3_20260605_run009,mqtt,2,command,-2205.0,61,39,True,22,,1780675912411,1780675910206,1780675910206,94.0
1780675913652,mqtt_s3_20260605_run009,mqtt,2,command,-2198.0,61,39,True,23,,1780675913561,1780675911363,1780675911363,94.0
1780675914830,mqtt_s3_20260605_run009,mqtt,2,command,-2185.0,61,39,True,24,,1780675914723,1780675912538,1780675912538,94.0
1780675915994,mqtt_s3_20260605_run009,mqtt,2,command,-2202.0,61,39,True,25,,1780675915896,1780675913694,1780675913694,93.0
1780675917153,mqtt_s3_20260605_run009,mqtt,2,command,-2205.0,61,39,True,26,,1780675917057,1780675914852,1780675914852,94.0
1780675918401,mqtt_s3_20260605_run009,mqtt,2,command,-2153.0,61,39,True,27,,1780675918208,1780675916055,1780675916055,188.0
1780675919543,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,28,,1780675919445,1780675917244,1780675917244,93.0
1780675920695,mqtt_s3_20260605_run009,mqtt,2,command,-2198.0,61,39,True,29,,1780675920597,1780675918399,1780675918399,110.0
1780675921838,mqtt_s3_20260605_run009,mqtt,2,command,-2206.0,61,39,True,30,,1780675921761,1780675919555,1780675919555,78.0
1780675922999,mqtt_s3_20260605_run009,mqtt,2,command,-2193.0,61,39,True,31,,1780675922905,1780675920712,1780675920712,93.0
1780675924147,mqtt_s3_20260605_run009,mqtt,2,command,-2207.0,61,39,True,32,,1780675924051,1780675921844,1780675921844,94.0
1780675925297,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,33,,1780675925205,1780675923004,1780675923004,93.0
1780675926435,mqtt_s3_20260605_run009,mqtt,2,command,-2210.0,61,39,True,34,,1780675926348,1780675924138,1780675924138,78.0
1780675927575,mqtt_s3_20260605_run009,mqtt,2,command,-2189.0,61,39,True,35,,1780675927480,1780675925291,1780675925291,94.0
1780675928762,mqtt_s3_20260605_run009,mqtt,2,command,-2190.0,61,39,True,36,,1780675928640,1780675926450,1780675926450,125.0
1780675929937,mqtt_s3_20260605_run009,mqtt,2,command,-2200.0,61,39,True,37,,1780675929825,1780675927625,1780675927625,109.0
1780675931101,mqtt_s3_20260605_run009,mqtt,2,command,-2193.0,61,39,True,38,,1780675930993,1780675928800,1780675928800,110.0
1780675932306,mqtt_s3_20260605_run009,mqtt,2,command,-2148.0,61,39,True,39,,1780675932154,1780675930006,1780675930006,156.0
1780675933478,mqtt_s3_20260605_run009,mqtt,2,command,-2189.0,61,39,True,40,,1780675933371,1780675931182,1780675931182,110.0
1780675934657,mqtt_s3_20260605_run009,mqtt,2,command,-2181.0,61,39,True,41,,1780675934539,1780675932358,1780675932358,110.0
1780675935812,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,42,,1780675935718,1780675933517,1780675933517,94.0
1780675936976,mqtt_s3_20260605_run009,mqtt,2,command,-2188.0,61,39,True,43,,1780675936877,1780675934689,1780675934689,110.0
1780675938151,mqtt_s3_20260605_run009,mqtt,2,command,-2203.0,61,39,True,44,,1780675938045,1780675935842,1780675935842,110.0
1780675939299,mqtt_s3_20260605_run009,mqtt,2,command,-2193.0,61,39,True,45,,1780675939201,1780675937008,1780675937008,93.0
1780675940465,mqtt_s3_20260605_run009,mqtt,2,command,-2205.0,61,39,True,46,,1780675940357,1780675938152,1780675938152,109.0
1780675941617,mqtt_s3_20260605_run009,mqtt,2,command,-2201.0,61,39,True,47,,1780675941517,1780675939316,1780675939316,109.0
1780675942763,mqtt_s3_20260605_run009,mqtt,2,command,-2200.0,61,39,True,48,,1780675942668,1780675940468,1780675940468,94.0
1780675943917,mqtt_s3_20260605_run009,mqtt,2,command,-2198.0,61,39,True,49,,1780675943814,1780675941616,1780675941616,109.0
1780675945072,mqtt_s3_20260605_run009,mqtt,2,command,-2200.0,61,39,True,50,,1780675944971,1780675942771,1780675942771,110.0
1780675946259,mqtt_s3_20260605_run009,mqtt,2,command,-2200.0,61,39,True,51,,1780675946159,1780675943959,1780675943959,109.0
1780675947410,mqtt_s3_20260605_run009,mqtt,2,command,-2206.0,61,39,True,52,,1780675947316,1780675945110,1780675945110,94.0
1780675948562,mqtt_s3_20260605_run009,mqtt,2,command,-2195.0,61,39,True,53,,1780675948464,1780675946269,1780675946269,94.0
1780675949715,mqtt_s3_20260605_run009,mqtt,2,command,-2191.0,61,39,True,54,,1780675949615,1780675947424,1780675947424,94.0
1780675950869,mqtt_s3_20260605_run009,mqtt,2,command,-2196.0,61,39,True,55,,1780675950767,1780675948571,1780675948571,109.0
1780675952071,mqtt_s3_20260605_run009,mqtt,2,command,-2184.0,61,39,True,56,,1780675951935,1780675949751,1780675949751,141.0
1780675953443,mqtt_s3_20260605_run009,mqtt,2,command,-2153.0,61,39,True,57,,1780675953150,1780675950997,1780675950997,297.0
1780675954735,mqtt_s3_20260605_run009,mqtt,2,command,-2141.0,61,39,True,58,,1780675954470,1780675952329,1780675952329,266.0
1780675956060,mqtt_s3_20260605_run009,mqtt,2,command,-2129.0,61,39,True,59,,1780675955828,1780675953699,1780675953699,234.0
1780675957371,mqtt_s3_20260605_run009,mqtt,2,command,-2137.0,61,39,True,60,,1780675957146,1780675955009,1780675955009,218.0
